,Rotten Tomatoes
46/100,122
50/100,120
48/100,114
56/100,113
55/100,110
49/100,110
51/100,110
44/100,107
59/100,105
57/100,104
52/100,98
60/100,97
43/100,96
41/100,96
53/100,94
47/100,92
54/100,91
39/100,90
42/100,90
58/100,86
40/100,86
63/100,82
64/100,78
45/100,78
61/100,74
67/100,70
62/100,66
38/100,64
65/100,62
70/100,57
66/100,55
36/100,55
37/100,53
72/100,52
69/100,48
73/100,47
71/100,43
68/100,42
75/100,39
35/100,39
74/100,37
76/100,36
34/100,32
77/100,26
79/100,25
78/100,24
80/100,21
84/100,21
12/100,21
82/100,18
83/100,18
33/100,18
81/100,18
87/100,14
10/100,13
89/100,12
86/100,11
32/100,11
85/100,8
31/100,8
29/100,6
88/100,6
15/100,6
92/100,6
13/100,6
90/100,5
14/100,4
94/100,3
30/100,3
91/100,3
17/100,2
20/100,1
95/100,1
16/100,1
97/100,1
21/100,1
23/100,1
24/100,1
27/100,1
28/100,1
93/100,1
98/100,1
